Date,Symbol,Open,Volume,high,Investments,Earnings per share,gross profit
2016-05-04,WLTW,125.389999,1597300.0,126.779999,3000000,7.23,3829000000
2016-05-05,WLTW,126.660004,1917500.0,127.790001,3000000,7.23,3829000000
2016-05-06,WLTW,127.360001,3221500.0,127.360001,3000000,7.23,3829000000
2016-05-09,WLTW,122.279999,919800.0,123.639999,3000000,7.23,3829000000
2016-05-10,WLTW,123.889999,1991600.0,125.989998,3000000,7.23,3829000000
2016-05-11,WLTW,125.699997,594800.0,125.940002,3000000,7.23,3829000000
2016-05-12,WLTW,124.440002,475800.0,124.57,3000000,7.23,3829000000
2016-05-13,WLTW,123.910004,715100.0,126.269997,3000000,7.23,3829000000
2016-05-16,WLTW,123.120003,528500.0,124.610001,3000000,7.23,3829000000
2016-05-17,WLTW,123.400002,580000.0,124.169998,3000000,7.23,3829000000
2016-05-18,WLTW,123.220001,629700.0,125.400002,3000000,7.23,3829000000
2016-05-19,WLTW,124.519997,598200.0,125.470001,3000000,7.23,3829000000
2016-05-20,WLTW,125.150002,816700.0,125.769997,3000000,7.23,3829000000
2016-05-23,WLTW,125.480003,640800.0,126.230003,3000000,7.23,3829000000
2016-05-24,WLTW,126.129997,761100.0,127.080002,3000000,7.23,3829000000
2016-05-25,WLTW,127.080002,462100.0,128.059998,3000000,7.23,3829000000
2016-05-26,WLTW,126.360001,627000.0,126.980003,3000000,7.23,3829000000
2016-05-27,WLTW,126.510002,722500.0,127.989998,3000000,7.23,3829000000
2016-05-31,WLTW,128.5,1384200.0,128.690002,3000000,7.23,3829000000
2016-06-01,WLTW,127.669998,441500.0,128.139999,3000000,7.23,3829000000
2016-06-02,WLTW,127.989998,423600.0,128.830002,3000000,7.23,3829000000
2016-06-03,WLTW,127.809998,496700.0,127.849998,3000000,7.23,3829000000
2016-06-06,WLTW,127.699997,536700.0,128.75,3000000,7.23,3829000000
2016-06-07,WLTW,128.050003,429400.0,129.699997,3000000,7.23,3829000000
2016-06-08,WLTW,128.990005,719100.0,129.410004,3000000,7.23,3829000000
2016-06-09,WLTW,128.729996,394500.0,129.669998,3000000,7.23,3829000000
2016-06-10,WLTW,128.869995,548000.0,128.940002,3000000,7.23,3829000000
2016-06-13,WLTW,127.099998,263300.0,127.650002,3000000,7.23,3829000000
2016-06-14,WLTW,124.720001,329300.0,125.699997,3000000,7.23,3829000000
2016-06-15,WLTW,125.949997,378700.0,125.949997,3000000,7.23,3829000000
2016-06-16,WLTW,123.339996,404800.0,124.870003,3000000,7.23,3829000000
2016-06-17,WLTW,124.669998,659300.0,125.75,3000000,7.23,3829000000
2016-06-20,WLTW,126.510002,550300.0,128.259995,3000000,7.23,3829000000
2016-06-21,WLTW,126.540001,485600.0,127.43,3000000,7.23,3829000000
2016-06-22,WLTW,127.089996,561900.0,127.910004,3000000,7.23,3829000000
2016-06-23,WLTW,127.940002,512300.0,127.940002,3000000,7.23,3829000000
2016-06-24,WLTW,121.0,1638000.0,121.25,3000000,7.23,3829000000
2016-06-27,WLTW,114.660004,884400.0,116.080002,3000000,7.23,3829000000
2016-06-28,WLTW,113.809998,795200.0,117.629997,3000000,7.23,3829000000
2016-06-29,WLTW,118.339996,1049700.0,121.010002,3000000,7.23,3829000000
2016-06-30,WLTW,121.360001,1162100.0,124.43,3000000,7.23,3829000000
2016-07-01,WLTW,124.480003,858400.0,125.510002,3000000,7.23,3829000000
2016-07-05,WLTW,120.190002,761400.0,123.540001,3000000,7.23,3829000000
2016-07-06,WLTW,123.32,749900.0,124.989998,3000000,7.23,3829000000
2016-07-07,WLTW,124.279999,591100.0,125.480003,3000000,7.23,3829000000
2016-07-08,WLTW,126.040001,692800.0,126.040001,3000000,7.23,3829000000
2016-07-11,WLTW,125.099998,482600.0,126.110001,3000000,7.23,3829000000
2016-07-12,WLTW,125.889999,844000.0,127.32,3000000,7.23,3829000000
2016-07-13,WLTW,127.610001,630000.0,127.739998,3000000,7.23,3829000000
2016-07-14,WLTW,127.620003,567100.0,127.68,3000000,7.23,3829000000
2016-07-15,WLTW,126.400002,512200.0,126.400002,3000000,7.23,3829000000
2016-07-18,WLTW,124.830002,462200.0,124.830002,3000000,7.23,3829000000
2016-07-19,WLTW,123.199997,706100.0,124.529999,3000000,7.23,3829000000
2016-07-20,WLTW,124.510002,533900.0,124.57,3000000,7.23,3829000000
2016-07-21,WLTW,123.68,374700.0,124.5,3000000,7.23,3829000000
2016-07-22,WLTW,123.220001,373800.0,124.059998,3000000,7.23,3829000000
2016-07-25,WLTW,123.57,365700.0,124.239998,3000000,7.23,3829000000
2016-07-26,WLTW,124.290001,313900.0,125.169998,3000000,7.23,3829000000
2016-07-27,WLTW,123.830002,401000.0,124.620003,3000000,7.23,3829000000
2016-07-28,WLTW,124.010002,275500.0,124.300003,3000000,7.23,3829000000
2016-07-29,WLTW,123.419998,426700.0,124.050003,3000000,7.23,3829000000
2016-08-01,WLTW,123.870003,574600.0,125.330002,3000000,7.23,3829000000
2016-08-02,WLTW,123.610001,793200.0,124.160004,3000000,7.23,3829000000
2016-08-03,WLTW,123.510002,446900.0,124.480003,3000000,7.23,3829000000
2016-08-04,WLTW,123.559998,766700.0,126.0,3000000,7.23,3829000000
2016-08-05,WLTW,121.730003,1865200.0,123.080002,3000000,7.23,3829000000
2016-08-08,WLTW,119.57,930800.0,121.419998,3000000,7.23,3829000000
2016-08-09,WLTW,120.290001,502700.0,121.580002,3000000,7.23,3829000000
2016-08-10,WLTW,121.650002,709700.0,122.43,3000000,7.23,3829000000
2016-08-11,WLTW,121.860001,563900.0,122.980003,3000000,7.23,3829000000
2016-08-12,WLTW,122.510002,342900.0,122.830002,3000000,7.23,3829000000
2016-08-15,WLTW,122.0,478800.0,122.230003,3000000,7.23,3829000000
2016-08-16,WLTW,121.370003,501800.0,121.980003,3000000,7.23,3829000000
2016-08-17,WLTW,121.900002,410300.0,122.220001,3000000,7.23,3829000000
2016-08-18,WLTW,121.739998,443800.0,122.730003,3000000,7.23,3829000000
2016-08-19,WLTW,122.099998,1414800.0,123.050003,3000000,7.23,3829000000
2016-08-22,WLTW,122.550003,570700.0,124.129997,3000000,7.23,3829000000
2016-08-23,WLTW,123.239998,391300.0,124.0,3000000,7.23,3829000000
2016-08-24,WLTW,123.099998,425200.0,124.260002,3000000,7.23,3829000000
2016-08-25,WLTW,121.809998,526300.0,122.760002,3000000,7.23,3829000000
2016-08-26,WLTW,122.580002,514700.0,124.449997,3000000,7.23,3829000000
2016-08-29,WLTW,123.150002,456500.0,124.760002,3000000,7.23,3829000000
2016-08-30,WLTW,124.18,414100.0,124.480003,3000000,7.23,3829000000
2016-08-31,WLTW,123.989998,464500.0,124.370003,3000000,7.23,3829000000
