Date,Price,Open,High,Low,Change%
"Dec 25, 2015",66.025,65.946,66.03,65.946,0.12%
"Dec 24, 2015",65.947,66.058,66.162,65.946,-0.14%
"Dec 23, 2015",66.037,66.242,66.285,66.011,-0.31%
"Dec 22, 2015",66.244,66.268,66.36,66.176,-0.01%
"Dec 21, 2015",66.251,66.319,66.385,66.189,-0.01%
"Dec 18, 2015",66.255,66.411,66.535,66.228,-0.25%
"Dec 17, 2015",66.421,66.454,66.685,66.26,-0.08%
"Dec 16, 2015",66.476,66.866,66.947,66.431,-0.58%
"Dec 15, 2015",66.863,67.092,67.135,66.77,-0.34%
"Dec 14, 2015",67.093,67.1,67.18,66.965,-0.08%
"Dec 11, 2015",67.148,66.761,67.148,66.743,0.59%
"Dec 10, 2015",66.756,66.855,66.935,66.681,-0.15%
"Dec 09, 2015",66.855,66.862,66.96,66.725,0.00%
"Dec 08, 2015",66.857,66.777,66.895,66.71,0.13%
"Dec 07, 2015",66.773,66.643,66.867,66.57,0.20%
"Dec 04, 2015",66.643,66.79,66.995,66.642,-0.22%
"Dec 03, 2015",66.79,66.598,66.898,66.561,0.30%
"Dec 02, 2015",66.591,66.433,66.68,66.432,0.24%
"Dec 01, 2015",66.434,66.462,66.61,66.385,-0.04%
"Nov 30, 2015",66.462,66.835,66.945,66.422,-0.67%
"Nov 27, 2015",66.907,66.66,66.91,66.65,0.51%
"Nov 26, 2015",66.565,66.371,66.675,66.347,0.30%
"Nov 25, 2015",66.368,66.261,66.399,66.261,0.16%
"Nov 24, 2015",66.262,66.398,66.505,66.26,-0.20%
"Nov 23, 2015",66.395,66.095,66.485,66.057,0.51%
"Nov 20, 2015",66.058,66.088,66.28,66.044,-0.05%
"Nov 19, 2015",66.09,66.057,66.24,66.032,0.09%
"Nov 18, 2015",66.033,66.008,66.325,65.985,0.08%
"Nov 17, 2015",65.981,65.905,66.095,65.885,0.14%
"Nov 16, 2015",65.886,66.079,66.26,65.853,-0.26%
"Nov 13, 2015",66.059,66.19,66.24,66.059,0.01%
"Nov 12, 2015",66.055,66.135,66.165,66.01,-0.02%
"Nov 11, 2015",66.07,66.07,66.07,66.07,-0.20%
"Nov 10, 2015",66.2,66.44,66.49,66.2,-0.41%
"Nov 09, 2015",66.475,66.42,66.5,66.317,0.51%
"Nov 06, 2015",66.14,65.817,66.14,65.733,0.43%
"Nov 05, 2015",65.86,65.609,65.9,65.523,0.38%
