Date,Price,Open,High,Low,Change %
"Aug 16, 2016",66.87,66.865,66.938,66.688,0.03%
"Aug 15, 2016",66.853,66.91,66.96,66.792,-0.08%
"Aug 12, 2016",66.908,66.75,66.926,66.738,0.24%
"Aug 11, 2016",66.75,66.765,66.92,66.738,-0.02%
"Aug 10, 2016",66.765,66.772,66.808,66.6,-0.01%
"Aug 09, 2016",66.774,66.816,66.985,66.738,-0.05%
"Aug 08, 2016",66.81,66.84,66.865,66.673,-0.05%
"Aug 05, 2016",66.842,66.843,66.901,66.71,0.00%
"Aug 04, 2016",66.84,66.782,67.01,66.74,0.11%
"Aug 03, 2016",66.767,66.687,67.015,66.682,0.13%
"Aug 02, 2016",66.682,66.767,66.805,66.57,-0.12%
"Aug 01, 2016",66.764,66.72,66.81,66.64,0.16%
"Jul 29, 2016",66.655,67.032,67.113,66.625,-0.54%
"Jul 28, 2016",67.014,67.058,67.115,66.94,-0.09%
"Jul 27, 2016",67.072,67.294,67.379,67.042,-0.37%
"Jul 26, 2016",67.321,67.415,67.438,67.255,-0.13%
"Jul 25, 2016",67.412,67.15,67.48,67.09,0.38%
"Jul 22, 2016",67.154,67.163,67.217,67.042,0.00%
"Jul 21, 2016",67.153,67.174,67.273,67.081,-0.01%
"Jul 20, 2016",67.163,67.188,67.255,67.095,-0.06%
"Jul 19, 2016",67.204,67.137,67.24,67.063,0.10%
"Jul 18, 2016",67.137,67.096,67.22,67.012,-0.01%
"Jul 15, 2016",67.141,66.843,67.175,66.843,0.45%
"Jul 14, 2016",66.843,67.006,67.042,66.802,-0.26%
"Jul 13, 2016",67.016,67.06,67.225,66.935,0.06%
"Jul 12, 2016",66.975,67.172,67.22,66.975,-0.24%
"Jul 11, 2016",67.138,67.139,67.308,67.01,0.00%
"Jul 08, 2016",67.139,67.495,67.517,67.07,-0.53%
"Jul 07, 2016",67.495,67.404,67.539,67.304,0.12%
"Jul 06, 2016",67.411,67.438,67.555,67.36,-0.03%
"Jul 05, 2016",67.434,67.255,67.525,67.244,0.25%
"Jul 04, 2016",67.265,67.19,67.3,67.118,0.11%
"Jul 01, 2016",67.19,67.509,67.514,67.15,-0.47%
"Jun 30, 2016",67.504,67.394,67.72,67.394,0.12%
"Jun 29, 2016",67.422,67.715,67.85,67.375,-0.43%
"Jun 28, 2016",67.715,67.898,67.98,67.65,-0.29%
"Jun 27, 2016",67.914,67.888,68.09,67.78,0.04%
"Jun 24, 2016",67.885,67.278,68.223,67.247,0.90%
"Jun 23, 2016",67.279,67.442,67.48,67.2,-0.25%
"Jun 22, 2016",67.449,67.64,67.678,67.342,-0.26%
"Jun 21, 2016",67.624,67.497,67.755,67.335,0.11%
"Jun 20, 2016",67.551,67.073,67.69,67.073,0.71%
"Jun 17, 2016",67.074,67.318,67.318,67.042,-0.36%
"Jun 16, 2016",67.315,67.079,67.454,67.077,0.35%
"Jun 15, 2016",67.079,67.291,67.353,67,-0.32%
"Jun 14, 2016",67.292,67.188,67.396,67.061,0.16%
"Jun 13, 2016",67.187,66.96,67.22,66.9,0.35%
"Jun 10, 2016",66.952,66.783,67.01,66.717,0.30%
"Jun 09, 2016",66.753,66.491,66.795,66.473,0.38%
"Jun 08, 2016",66.5,66.658,66.821,66.451,-0.24%
"Jun 07, 2016",66.658,66.809,66.97,66.635,-0.20%
"Jun 06, 2016",66.79,66.888,67.055,66.789,-0.31%
"Jun 03, 2016",67,67.285,67.38,67,-0.40%
"Jun 02, 2016",67.268,67.484,67.51,67.215,-0.25%
"Jun 01, 2016",67.434,67.207,67.519,67.12,0.33%
"May 31, 2016",67.209,67.17,67.338,67.106,0.06%
"May 30, 2016",67.171,67.04,67.38,67.031,0.21%
"May 27, 2016",67.031,66.942,67.135,66.875,0.16%
"May 26, 2016",66.927,67.3,67.415,66.903,-0.51%
"May 25, 2016",67.273,67.63,67.712,67.223,-0.53%
"May 24, 2016",67.63,67.429,67.78,67.417,0.33%
"May 23, 2016",67.409,67.43,67.59,67.243,0.00%
"May 20, 2016",67.408,67.436,67.545,67.32,-0.04%
"May 19, 2016",67.436,67.143,67.61,67.103,0.44%
"May 18, 2016",67.14,66.824,67.169,66.824,0.47%
"May 17, 2016",66.825,66.845,66.901,66.675,-0.03%
"May 16, 2016",66.844,66.925,66.944,66.73,-0.02%
"May 13, 2016",66.855,66.757,66.925,66.72,0.15%
"May 12, 2016",66.757,66.561,66.781,66.52,0.29%
"May 11, 2016",66.561,66.631,66.845,66.52,-0.11%
"May 10, 2016",66.631,66.752,66.786,66.542,-0.18%
"May 09, 2016",66.752,66.602,66.8,66.395,0.23%
"May 06, 2016",66.6,66.568,66.715,66.48,0.06%
"May 05, 2016",66.558,66.627,66.675,66.458,-0.10%
"May 04, 2016",66.627,66.579,66.689,66.5,0.10%
"May 03, 2016",66.558,66.343,66.582,66.235,0.32%
"May 02, 2016",66.346,66.425,66.465,66.32,-0.12%
"Apr 29, 2016",66.425,66.395,66.57,66.29,0.04%
"Apr 28, 2016",66.401,66.391,66.562,66.32,0.06%
"Apr 27, 2016",66.362,66.406,66.612,66.344,-0.06%
"Apr 26, 2016",66.404,66.693,66.852,66.397,-0.42%
